Male~Uncertain / Other~>$1M~0%-25%~$10M-20M,1,0,0,0,0,0,0,0,0,0,0,0
Male~Uncertain / Other~>$1M~25%-50%~$10M-20M,1,0,0,0,0,0,0,0,0,0,0,0
Female~Business Services~$0-$250k~0%-25%~$1M-$10M,1,0,0,0,0,0,0,0,0,0,0,0
Female~Business Services~$0-$250k~25%-50%~<$1M,1,0,0,0,0,0,0,0,0,0,0,0
Female~Children / Education~$0-$250k~0%-25%~<$1M,10,7,725000.0,1.93,2827976.0,1,2,3,0,0,1,0,635000.0,1.15,3808333.0
Female~Children / Education~$0-$250k~0%-25%~$1M-$10M,9,7,1100000.0,1.35,6683333.0,1,2,2,0,1,1,1,875000.0,0.75,9000000.0
Female~Children / Education~$0-$250k~25%-50%~<$1M,3,1,65000.0,0.25,260000.0,0,0,1,0,0,0,0,65000.0,0.25,260000.0
Female~Children / Education~$250k-$500k~0%-25%~$1M-$10M,3,2,600000.0,0.9,1375000.0,2,0,0,0,0,0,0,600000.0,0.35,3583333.0
Female~Children / Education~$250k-$500k~0%-25%~$10M-20M,1,1,600000.0,0.05,12000000.0,0,0,1,0,0,0,0,250000.0,0.03,10000000.0
Female~Children / Education~$500k-$750k~0%-25%~$1M-$10M,1,0,0,0,0,0,0,0,0,0,0,0
Female~Children / Education~$500k-$750k~0%-25%~$10M-20M,1,1,500000.0,0.05,10000000.0,0,1,1,0,0,0,0,500000.0,0.05,10000000.0
Female~Fashion / Beauty~$0-$250k~0%-25%~<$1M,23,12,860000.0,3.73,3107500.0,5,2,5,0,1,1,1,845000.0,2.22,4658333.0
Female~Fashion / Beauty~$0-$250k~0%-25%~$1M-$10M,9,3,500000.0,0.7,2525252.0,0,1,1,0,1,0,0,500000.0,0.3,5000000.0
Female~Fashion / Beauty~$0-$250k~25%-50%~<$1M,11,7,700000.0,3.35,1605238.0,1,2,2,1,1,3,0,575000.0,1.9,2116666.0
Female~Fashion / Beauty~$0-$250k~50%-100%~<$1M,1,1,80000.0,0.7,114286.0,0,1,0,0,0,1,0,80000.0,0.51,156863.0
Female~Fashion / Beauty~$250k-$500k~0%-25%~$1M-$10M,7,4,1225000.0,1.35,4033333.0,1,1,2,0,3,1,1,1225000.0,0.65,8750000.0
Female~Fashion / Beauty~$500k-$750k~0%-25%~$1M-$10M,4,4,2100000.0,0.86,12867965.0,0,1,1,0,1,1,0,2100000.0,0.57,18571429.0
Female~Fashion / Beauty~$500k-$750k~0%-25%~$10M-20M,1,0,0,0,0,0,0,0,0,0,0,0
Female~Fitness / Sports / Outdoors~$0-$250k~0%-25%~<$1M,5,3,350000.0,0.75,1458333.0,0,1,1,0,1,0,0,255000.0,0.4,1933333.0
Female~Fitness / Sports / Outdoors~$0-$250k~25%-50%~<$1M,1,0,0,0,0,0,0,0,0,0,0,0
Female~Fitness / Sports / Outdoors~$250k-$500k~0%-25%~$1M-$10M,2,2,600000.0,0.97,1399038.0,1,1,0,0,0,1,0,600000.0,0.35,3500000.0
Female~Fitness / Sports / Outdoors~$500k-$750k~50%-100%~$1M-$10M,1,0,0,0,0,0,0,0,0,0,0,0
Female~Food and Beverage~$0-$250k~0%-25%~<$1M,16,7,625000.0,1.8,2067857.0,4,0,2,0,0,0,1,575000.0,1.2,3375000.0
Female~Food and Beverage~$0-$250k~0%-25%~$1M-$10M,7,4,1110000.0,1.2,4166667.0,2,3,1,0,0,0,1,550000.0,0.47,4928571.0
Female~Food and Beverage~$0-$250k~25%-50%~<$1M,8,6,535000.0,2.56,1629759.0,2,2,0,1,0,1,0,535000.0,1.78,1831601.0
Female~Food and Beverage~$250k-$500k~0%-25%~$1M-$10M,2,1,250000.0,0.4,625000.0,1,1,0,0,0,0,0,250000.0,0.15,1666667.0
Female~Food and Beverage~$250k-$500k~25%-50%~<$1M,2,0,0,0,0,0,0,0,0,0,0,0
Female~Food and Beverage~$500k-$750k~0%-25%~$1M-$10M,1,1,500000.0,0.5,1000000.0,0,0,0,1,1,0,0,500000.0,0.15,3333333.0
Female~Food and Beverage~$500k-$750k~0%-25%~$10M-20M,1,0,0,0,0,0,0,0,0,0,0,0
Female~Food and Beverage~>$1M~0%-25%~>$20M,1,0,0,0,0,0,0,0,0,0,0,0
Female~Healthcare~$0-$250k~0%-25%~<$1M,2,2,75000.0,0.8,190909.0,2,1,0,0,0,0,0,70000.0,0.35,433333.0
Female~Healthcare~$0-$250k~25%-50%~<$1M,2,0,0,0,0,0,0,0,0,0,0,0
Female~Healthcare~$250k-$500k~0%-25%~$1M-$10M,1,0,0,0,0,0,0,0,0,0,0,0
Female~Healthcare~$500k-$750k~0%-25%~$10M-20M,1,0,0,0,0,0,0,0,0,0,0,0
Female~Healthcare~$750k-$1M~0%-25%~$10M-20M,1,1,750000.0,0.08,10000000.0,0,0,1,0,0,0,0,750000.0,0.08,10000000.0
Female~Lifestyle / Home~$0-$250k~0%-25%~<$1M,8,3,225000.0,1.14,629082.0,1,0,2,0,0,0,0,175000.0,0.42,1375000.0
Female~Lifestyle / Home~$0-$250k~0%-25%~$1M-$10M,2,2,350000.0,0.35,2000000.0,1,1,1,0,1,1,1,225000.0,0.17,2785714.0
Female~Lifestyle / Home~$0-$250k~25%-50%~<$1M,5,4,365000.0,1.68,908441.0,2,1,1,1,1,0,0,365000.0,1.1,1326666.0
Female~Lifestyle / Home~$250k-$500k~0%-25%~$1M-$10M,3,1,400000.0,0.2,2000000.0,0,0,0,0,0,1,0,400000.0,0.1,4000000.0
Female~Lifestyle / Home~>$1M~0%-25%~<$1M,1,1,100000.0,0.33,303030.0,1,0,0,0,0,0,0,1000000.0,0.2,500000.0
Female~Media / Entertainment~$500k-$750k~0%-25%~$1M-$10M,1,1,725000.0,0.18,4142857.0,0,0,1,0,1,0,0,725000.0,0.1,7250000.0
Female~Media / Entertainment~>$1M~0%-25%~>$20M,1,1,2000000.0,0.2,10000000.0,0,1,0,0,0,0,0,2000000.0,0.1,20000000.0
Female~Pet Products~$0-$250k~0%-25%~<$1M,4,4,400000.0,1.55,1160714.0,1,0,0,1,0,3,0,375000.0,0.65,2166667.0
Female~Pet Products~$0-$250k~25%-50%~<$1M,2,1,150000.0,0.4,375000.0,0,0,1,0,0,1,0,150000.0,0.33,454545.0
Female~Pet Products~$500k-$750k~0%-25%~$10M-20M,1,1,500000.0,0.03,16666667.0,0,0,1,0,0,0,0,500000.0,0.05,10000000.0
Female~Software / Tech~$0-$250k~0%-25%~<$1M,2,2,200000.0,0.6,750000.0,0,2,1,0,0,0,0,175000.0,0.35,1000000.0
Female~Software / Tech~$0-$250k~0%-25%~$1M-$10M,2,0,0,0,0,0,0,0,0,0,0,0
Female~Software / Tech~$250k-$500k~0%-25%~$1M-$10M,1,1,300000.0,0.1,3000000.0,0,1,0,0,0,0,0,300000.0,0.1,3000000.0
